GENIE3_links,PIDC_links,GRNBOOST2_links,phase_synchrony_links
CDA_TREML1,APOBEC3A_C5AR1,ITGA2B_TMEM40,GPR56_ITGA2B
S1PR5_TPM1,HLA-DQA1_LAT2,ARHGAP24_CD9,MYL9_XCL1
PLD4_PTCRA,GSN_MARCH2,CST7_PKIG,S1PR5_XCL1
COTL1_PTPRCAP,CD19_CLEC10A,GNG11_PRSS23,GPR56_RP11-367G6.3
PKIG_TPM1,C9orf142_CLEC10A,FCRLA_MYL9,CMTM5_PRSS23
FGL2_LDLRAP1,EFHD2_PF4,GNG11_ITGA2B,CD9_RP11-367G6.3
PLBD1_S100A12,GZMK_TSC22D1,GNG11_LINC00926,GP9_GZMA
AIF1_S100A8,C1orf162_HAVCR2,COTL1_PTCRA,GPR56_TMEM40
HLA-DRB1_SNX29P2,CEBPB_CMTM5,GPR56_SEPT5,ITGA2B_XCL1
GZMA_HIST1H2AC,GP1BA_GZMH,ARHGAP24_PRSS23,SEPT5_TMEM40
GZMB_PNOC,LYAR_SNX29P2,RAMP1_RP11-367G6.3,GPR56_TREML1
C2orf88_S1PR5,CLEC10A_TIGIT,AKR1C3_TMEM40,CD9_SPARC
ASGR1_TNFRSF1B,IGLL5_MS4A1,KLRG1_NCR3,GZMA_RAMP1
C5AR1_CD79A,PLEKHF1_S1PR5,GZMA_PKIG,RP11-367G6.3_SEPT5
KIAA0125_NCR3,HLA-DQB1_LITAF,CDA_PRSS23,CMTM5_RAMP1
DYNLL1_MMD,SNCA_TUBB1,MYL9_SPARC,GZMA_PRSS23
GZMB_LST1,C2orf88_RP11-367G6.3,CD9_CMTM5,GZMA_XCL2
FGL2_ODC1,MYL9_RP11-367G6.3,CD79B_MYL9,CMTM5_XCL2
PNOC_S100A6,C2orf88_GZMA,TIGIT_TMEM40,PKIG_SEPT5
HLA-DQA1_NPC2,GZMA_RP11-367G6.3,IGLL5_RAMP1,SEPT5_TREML1
NPC2_PLEKHF1,C2orf88_MYL9,PRSS23_SPARC,SEPT5_SPARC
ARHGAP24_CD9,GZMA_TPM1,CD9_XCL2,CD247_GZMB
TIGIT_XCL1,GZMA_MYL9,FCRL6_LY6G6F,TREML1_XCL1
CCL3_CYBA,C2orf88_TPM1,CD9_GPR56,SPARC_XCL1
HAVCR2_IGFBP7,RP11-367G6.3_TPM1,CMTM5_GP1BA,CD9_TREML1
ARPC1B_SWAP70,MYL9_TPM1,P2RX5_PRSS23,AP001189.4_SEPT5
CDA_MAP3K7CL,CMTM5_IL32,GP9_RP11-367G6.3,GPR56_LINC00926
MAP3K7CL_RAMP1,ACRBP_LDLRAP1,CD79B_KIAA0125,GPR56_SPARC
DYNLL1_FERMT3,APOBEC3A_S100A11,GPR56_MAP3K7CL,RP11-367G6.3_XCL1
LAT2_S100A12,FOLR3_IGFBP7,PKIG_TMEM40,CD9_PKIG
CLU_SPARC,HLA-DPB1_PTCRA,SPARC_TREML1,PKIG_XCL1
CLEC1B_HIST1H2AC,PRR5_ZAP70,LY6G6F_PRR5,GPR56_ZAP70
HLA-DMB_IL32,CD247_TUBB1,FCRL6_XCL1,GP1BA_RP11-367G6.3
CD9_SEPT5,GYG1_PLD4,FGFBP2_KIAA0125,CMTM5_RP11-367G6.3
ARPC1B_IFI30,GP1BA_TUBB1,KIAA0125_KLRB1,S1PR5_TPM1
S100A12_TSC22D1,CD1C_EFHD2,RP11-367G6.3_S1PR5,TPM1_TREML1
C2orf88_NCR3,PNOC_TTC38,GNG11_LY6G6F,PKIG_TPM1
CEBPB_SERPINF1,C5orf56_F13A1,CLU_RP11-367G6.3,CMTM5_ITGA2B
GSN_IL1B,CLIC3_HVCN1,CLU_RAMP1,AP001189.4_TPM1
LAT2_NRGN,HAVCR2_SDPR,GP9_MAP3K7CL,GZMA_LY6G6F
HLA-DRB1_SWAP70,RGS18_TYMP,SDPR_SPARC,GP1BA_TREML1
COTL1_LST1,APOBEC3A_UBB,GPR56_XCL1,CMTM5_TREML1
GNLY_MAL,HLA-DPB1_PHACTR1,GNG11_MAP3K7CL,KIAA0125_RP11-367G6.3
LGALS2_RGS18,HLA-DOB_TYROBP,AQP3_KLRC1,TMEM40_TPM1
CEBPB_FPR1,MZB1_PTCRA,CD9_TREML1,ITGA2B_TPM1
C2orf88_KIAA0125,ADAM28_GP1BA,ARHGAP24_GZMA,CCL5_PRSS23
LDLRAP1_TSC22D1,SPON2_TTC38,CMTM5_LY6G6F,LINC00926_TPM1
GPR56_SEPT5,C5AR1_S100A11,GZMA_HIST1H2AC,MYL9_TPM1
CDA_XCL1,FGL2_LITAF,GNG11_SPARC,KIAA0125_TREML1
SPARC_TMEM40,LDLRAP1_UBB,PKIG_RAMP1,SPARC_TPM1
CLIC3_SERPINF1,HIST1H2AC_IGSF6,FCRLA_TREML1,GP1BA_TIGIT
PF4_SRGN,PDIA3_PTCRA,FCRLA_ITGA2B,KIAA0125_MYL9
CD160_NCR3,IGSF6_NCF2,GP9_TMEM40,CCL5_GP9
C9orf142_GZMB,LGALS3_PLD4,CLIC3_MZB1,FCN1_TYROBP
PPBP_SAMD3,CMTM5_NRGN,C2orf88_HIST1H2AC,KIAA0125_S1PR5
SWAP70_TSC22D1,PDIA3_SWAP70,GNG11_XCL2,FCRLA_SPARC
GZMA_KLRC1,FGL2_LGALS3,FCRLA_RP11-367G6.3,GZMA_HIST1H2AC
CTSW_FCRL6,CLIC3_LST1,CD9_PRSS23,CMTM5_LINC00926
BLNK_FCN1,C9orf142_PDIA3,KIAA0125_S1PR5,CMTM5_TIGIT
GZMK_KLRC1,C5AR1_LITAF,PRSS23_XCL1,GP1BA_ITGA2B
PLD4_PTGDR,KLRC1_TSC22D1,AIF1_CLIC3,AP001189.4_KIAA0125
ABI3_AQP3,PARVB_SMCO4,CDA_RP11-367G6.3,FCRLA_LINC00926
HLA-DPA1_SWAP70,HLA-DQB1_TNFSF13B,MYL9_XCL2,FCRLA_ITGA2B
CD9_GP1BA,CCL3_PHACTR1,MYL9_RAMP1,CMTM5_TMEM40
APOBEC3G_PLA2G12A,PTGS1_SERPINF1,IGLL5_MAP3K7CL,FCRLA_TMEM40
PLD4_PNOC,TYROBP_ZAP70,AP001189.4_TREML1,HIST1H2AC_NCR3
CTSW_GPX1,COTL1_HLA-DPB1,FCGR2B_JAKMIP1,GP1BA_LINC00926
IL32_MS4A1,CD1C_CEBPB,LY6G6F_SPARC,FCRLA_MYL9
KIAA0125_KLRC1,CLEC10A_GYG1,C9orf142_MZB1,AP001189.4_CMTM5
ID2_PARVB,GNLY_MS4A6A,GPR56_PRSS23,AP001189.4_FCRLA
FCRLA_XCL2,BLVRA_HLA-DMA,CLEC1B_TSC22D1,CCL5_RAMP1
CD247_GZMH,FCRL6_NCOA4,GPR56_PKIG,GP1BA_S1PR5
