GENIE3_links,PIDC_links,GRNBOOST2_links,phase_synchrony_links
ODC1_SNX29P2,CD247_IRF8,CD72_FCER1A,ITGA2B_XCL2
MZB1_PTGDR,ADAM28_PLBD1,PF4_SDPR,CD72_RAMP1
CLIC3_SERPINF1,AQP3_GAS2L1,CMTM5_CST3,TIGIT_XCL2
HLA-DQB1_TPM4,CLIC3_PARVB,CLEC10A_SERPINF1,PRSS23_RP11-367G6.3
AKR1C3_FCER1A,HAVCR2_PLBD1,HLA-DOB_SERPINF1,GP1BA_LY6G6F
GZMA_S1PR5,MMD_PGRMC1,HOPX_KLRC1,RP11-367G6.3_S1PR5
CLU_TREML1,CCL5_TPM1,CD72_LINC00926,P2RX5_TIGIT
FCER1G_FCGR3A,SNCA_TUBB1,MYL9_PPBP,KLRC1_NCR3
FCN1_IGLL5,CTSS_FCGR3A,CST7_LINC00926,F13A1_GP9
CCL4_KIAA0125,HLA-DMB_NRGN,FCER1A_MZB1,RP11-367G6.3_SPON2
GP9_LY6G6F,ADAM28_F13A1,CLEC10A_PTGDR,AIF1_CD1C
MYL9_PPBP,AC147651.3_AQP3,FGFBP2_LY6G6F,SEPT5_SPARC
PRF1_SERPINF1,ASGR1_PTGS1,CD9_GP1BA,LINC00926_XCL1
PLEKHF1_PTGDR,AIF1_FCER1G,HLA-DPB1_LGALS2,ITGA2B_P2RX5
PF4_SDPR,ARPC5L_PLA2G12A,ITGA2B_LY6G6F,CD160_HOPX
CLIC3_MZB1,FCGR2B_FOLR3,AC147651.3_KLRB1,FCRL6_P2RX5
RGS18_SNCA,GSN_PARVB,CD2_JAKMIP1,FCRL6_GPR56
GPX1_TSC22D1,CLEC10A_PTGDR,IGLL5_MZB1,GPR56_TIGIT
C1orf162_LGALS3,GIMAP5_KLRC1,ADAM28_LY6G6F,AKR1C3_FCRL6
CD9_LST1,AQP3_KLRC1,FCER1G_FCGR3A,PKIG_XCL2
MAP3K7CL_PLA2G12A,FCGR2B_MMD,CTSW_P2RX5,AKR1C3_LINC00926
FCGR3A_FCN1,MAL_S100A12,PKIG_XCL2,RAMP1_TIGIT
ADAM28_FCER1G,CCL3_PRR5,LINC00926_PTGDR,AIF1_FCER1A
CDA_SEPT5,CD2_NCR3,CLEC10A_MZB1,FCRL6_TIGIT
GZMB_LST1,FCGR2B_LAT2,HLA-DOB_LINC00926,P2RX5_SPON2
CD72_RP11-367G6.3,ADAM28_IGFBP7,CD160_KLRB1,RP11-367G6.3_XCL1
CA2_TSC22D1,CLEC1B_KLRB1,ARHGAP24_MZB1,ITGA2B_PLEKHF1
RAMP1_XCL1,KLRG1_MAL,GZMH_PTGDR,CD72_TIGIT
CLEC1B_KLRB1,PRR5_TUBB1,CD9_LY6G6F,CLEC10A_SERPINF1
FCRLA_SERPINF1,MAL_NCR3,HLA-DOB_LY6G6F,HOPX_RP11-367G6.3
AQP3_CD160,GSN_TREML1,HLA-DRB1_LGALS2,F13A1_TREML1
ASGR1_CD1C,CLEC1B_LYAR,HVCN1_P2RX5,LINC00926_XCL2
BLNK_PNOC,CLEC10A_PARVB,SAMD3_XCL1,LINC00926_PRSS23
CD19_GZMK,ADAM28_CMTM5,PTGDR_RP11-367G6.3,P2RX5_RAMP1
PLA2G12A_TUBB1,PLBD1_SEPT5,ARHGAP24_CD72,CD160_P2RX5
P2RX5_SERPINF1,LAT2_SWAP70,KIAA0125_KLRC1,FCRL6_LINC00926
HLA-DMB_PKIG,KLRC1_NCR3,ARHGAP24_RP11-367G6.3,AKR1C3_CD79A
LTB_PNOC,GAS2L1_KLRC1,AIF1_XCL2,MAP3K7CL_SDPR
CEBPB_HLA-DOB,AC147651.3_PLA2G12A,KLRB1_MAL,AKR1C3_TIGIT
MAP3K7CL_SPARC,KLRB1_KLRG1,BLNK_KLRC1,P2RX5_S1PR5
APOBEC3G_ARHGAP24,GZMA_NKG7,CCL5_SDPR,LINC00926_TIGIT
BLNK_SPIB,PLBD1_TIGIT,KIAA0125_PPBP,PLEKHF1_SPON2
CCL5_CD19,GAS2L1_PLA2G12A,CD247_JAKMIP1,FCRL6_PLEKHF1
RAMP1_XCL2,ACRBP_CD160,CLIC3_RP11-367G6.3,ADAM28_PLEKHF1
CLIC3_KLRB1,KLRB1_NCR3,CLU_PRSS23,FCRL6_PRSS23
LGALS2_MS4A6A,AC147651.3_KLRC1,CTSW_MZB1,ITGA2B_RP11-367G6.3
CLDN5_SPARC,CLEC1B_MAL,HLA-DPA1_HLA-DPB1,CLEC10A_MZB1
MYL9_PF4,AQP3_GIMAP5,GZMK_KLRB1,RP11-367G6.3_XCL2
PTCRA_TUBB1,CD160_PLA2G12A,PF4_PPBP,AKR1C3_GPR56
CDA_LDLRAP1,S100A8_SPIB,AKR1C3_PTGDR,ADAM28_F13A1
HLA-DRB1_LGALS2,S100A8_SWAP70,CST3_FCN1,ITGA2B_TMEM40
CD1C_PTGDR,GAS2L1_GZMK,CCL4_P2RX5,AIF1_SERPINF1
HLA-DQA1_HLA-DQB1,FOLR3_SWAP70,CTSS_FCGR3A,RAMP1_XCL2
GAS2L1_ITGA2B,RGS18_SNCA,LGALS2_MS4A6A,HLA-DOB_PTGDR
IFITM3_MMD,BLNK_HOPX,CLIC3_MZB1,ADAM28_P2RX5
CD72_LINC00926,MMD_SPIB,FOLR3_GP1BA,CD1C_LST1
CTSS_PTGS1,CMTM5_HAVCR2,GP1BA_TYROBP,HOPX_PLEKHF1
GZMB_PTGS1,CLDN5_PTCRA,LYAR_MAL,PLEKHF1_SNX29P2
LST1_NCR3,FCGR3A_HLA-DPA1,ARHGAP24_P2RX5,AP001189.4_HLA-DOB
CMTM5_FCER1G,CD160_GZMK,ACRBP_CD160,CD72_TCL1A
FCRLA_HVCN1,ID2_IRF8,ARHGAP24_SERPINF1,CMTM5_SPARC
C5orf56_KLRB1,FCGR2B_TSC22D1,GNLY_PPBP,SEPT5_XCL1
F13A1_TYROBP,CD2_PTCRA,CCL4_RP11-367G6.3,PTGDR_TCL1A
HLA-DPA1_HLA-DRB1,KLRC1_KLRG1,GZMB_LST1,CD19_RP11-367G6.3
CD1C_FCER1A,AC147651.3_GZMK,HLA-DOB_PTGDR,CD79A_P2RX5
CLU_NRGN,CD160_GAS2L1,CD1C_LY6G6F,CD72_FCRLA
MAP3K7CL_SDPR,ARPC5L_CD160,LITAF_PLEKHF1,LINC00926_S1PR5
HLA-DPB1_PGRMC1,KLRG1_LYAR,HLA-DPB1_HLA-DRB1,FCRLA_PTGDR
F13A1_FCER1G,JAKMIP1_LAT2,GZMB_PRSS23,S1PR5_SPON2
ALDH2_ARHGAP24,CLIC3_PTGDR,MARCH2_XCL2,AIF1_MZB1
PDIA3_PLA2G12A,CLEC1B_KLRC1,FCER1A_XCL1,CD72_SPON2
C2orf88_CD160,PARVB_TREML1,S100A11_S100A6,CD79A_PTGDR
C5orf56_SMIM14,PTCRA_S100A12,PTGS1_XCL1,ITGA2B_TIGIT
ACRBP_TSC22D1,CD79A_TTC38,PRSS23_SERPINF1,ADAM28_RAMP1
ACRBP_NRGN,AQP3_GZMK,GIMAP5_KLRC1,HOPX_KLRC1
F13A1_XCL1,LYAR_NCR3,ITGA2B_SERPINF1,CD160_KLRB1
FCRL6_XCL2,S100A12_TSC22D1,AIF1_FCER1G,PNOC_RP11-367G6.3
IL1B_SEPT5,CD247_PGRMC1,CLIC3_LINC00926,P2RX5_TCL1A
HVCN1_TTC38,CLEC10A_PLD4,ABI3_XCL2,LY6G6F_TCL1A
GPR56_SEPT5,SPIB_TSC22D1,ENHO_LY6G6F,HOPX_LINC00926
ASGR1_S100A12,CLEC10A_CLIC3,AKR1C3_PRSS23,FCRL6_RP11-367G6.3
PPBP_TSC22D1,CD160_HIST1H2AC,CCL3_FCGR3A,LINC00926_SPON2
RGS18_TSC22D1,CD2_CLEC1B,IL32_JAKMIP1,FCER1A_LST1
IRF8_NCR3,AQP3_NCR3,IGLL5_SERPINF1,PRSS23_TIGIT
GP9_NRGN,SERPINF1_TCL1A,ID2_XCL2,CD72_HLA-DOB
HOPX_PNOC,HOPX_PNOC,GP1BA_JAKMIP1,FCRLA_P2RX5
ACRBP_GP9,MS4A6A_SNCA,GZMB_LINC00926,RP11-367G6.3_TIGIT
