GENIE3_links,GRNBOOST2_links,PIDC_links,phase_synchrony_links
HLA-DPB1_HLA-DQA1,RPS15A_RPS27A,CD3E_CYB561A3,CST7_KIAA0125
CD74_FCRL6,SPIB_VPREB3,CYB561A3_LTB,FCRLA_PDLIM1
CHST12_LST1,LY86_PKIG,RPL10_RPL13,FCER2_TCL1A
FTH1_RPL13,CFD_FCRL6,EEF1A1_TPT1,FCRL6_GZMM
GZMH_PTPRCAP,CFP_LAG3,CD3D_SPIB,HOPX_NCR3
GZMK_LAG3,S100A9_TSPO,CD3D_CYB561A3,BLK_NCR3
FCRLA_TCL1A,B2M_RPL32,CD3D_CD3E,GZMM_TCL1A
B2M_MALAT1,COTL1_FTH1,ISG20_LCK,KLRG1_LAG3
COTL1_TIGIT,GPX1_LYZ,CD3E_LCK,AC092580.4_KLRG1
S100A6_SAMD3,RPL13_RPS3,RPL13A_RPLP2,FGFBP2_TCL1A
CTSW_TSPAN13,HLA-DPA1_HLA-DQB1,AC092580.4_CYB561A3,CD8A_GZMK
CXCR4_S100A4,AIF1_CTSS,AC092580.4_MARCH1,BLK_GZMK
CD74_HLA-DRB1,FCRL6_TYROBP,RPL32_RPLP2,GZMK_HOPX
CST7_MATK,MALAT1_NCR3,LCK_SPIB,CST7_FCRL6
RPLP2_RPS14,LST1_RPS12,EAF2_LCK,FCRLA_GZMM
CD3D_GNG7,RPLP0_RPLP2,CYB561A3_LCK,CD79A_PKIG
CHST12_LGALS1,RPL23A_RPS3A,RPL21_RPL30,CD72_GZMM
CHST12_FTH1,NCR3_PRF1,RPL13_RPS6,CST7_LINC00926
MATK_TSPAN13,CCL5_PTPRCAP,CD3D_MARCH1,HLA-DOB_TCL1A
FGFBP2_FTH1,CXCR4_TYROBP,APOBEC3G_SNX2,KIAA0125_PNOC
LY86_PKIG,CD14_LYZ,RPL35A_RPS14,LAG3_TSPAN13
HLA-DPA1_HLA-DQB1,GZMM_TCL1A,LCK_MARCH1,HOPX_LAG3
EAF2_GZMH,B2M_RPL10,CXCR4_ISG20,CD72_CD79A
CHST12_S100A6,CST7_MATK,RPL13_RPLP2,CD72_GZMA
FGFBP2_S100A4,PDLIM1_S100A4,RPS13_RPS14,FCRLA_HOPX
GZMH_S100A6,LINC00926_VPREB3,RPS3_RPS5,BLK_FGFBP2
HLA-DOB_TSPAN13,B2M_S100A9,AC092580.4_CD2,HLA-DOB_TSPAN13
CD8B_LAG3,KIAA0125_TSPAN13,CCR7_CD247,CST7_VPREB3
HLA-B_HLA-C,LGALS2_RPS27,HLA-DPB1_S100A9,FCRLA_GZMH
RPL27A_RPS14,HLA-C_PRF1,CD3D_ISG20,CD79A_KIAA0125
FCRL6_TYROBP,RPL11_RPS27,CCR7_CD40,FCRLA_HLA-DOB
GNG7_SMIM14,FCRL6_FTL,RPL11_RPS15A,GZMA_HOPX
CHST12_FCRL6,PNOC_TSPAN13,RPL13_RPS12,FGFBP2_LINC00926
CD37_LINC00926,BANK1_KIAA0125,HLA-DQA1_SMIM14,NCR3_TSPAN13
CCL4_TSPAN13,CD74_HLA-DMB,PKIG_PRF1,KIAA0125_VPREB3
GNG7_KIAA0125,TMEM66_VPREB3,CD3D_EAF2,HLA-DQA1_HLA-DQA2
LAG3_NCR3,HLA-DRA_LGALS2,HLA-C_RPL14,GZMH_TSPAN13
CD14_HOPX,FGFBP2_TSPAN13,AC092580.4_SPIB,SAMD3_TSPAN13
S100A6_S100A9,FTH1_RPS18,EEF1A1_RPL13,CD72_P2RX5
CD37_TCL1A,NEAT1_RPS18,RPS15A_RPS6,P2RX5_TSPAN13
CFD_MATK,CD247_LYZ,GPX1_LYZ,BLK_PNOC
PDLIM1_SPIB,FTH1_FTL,CD2_LYAR,GZMA_PKIG
CD79B_GZMA,FCRLA_KLRG1,CD2_CYB561A3,CD8A_TSPAN13
CD72_CST7,FGFBP2_S100A4,HLA-DOB_HLA-DQA2,MATK_NCR3
BLK_GZMA,RPL13A_RPL32,CCR7_SH2D1A,GZMK_TSPAN13
BLK_FCRLA,GZMA_TSPAN13,RPL32_RPS15A,CD72_SAMD3
CD247_CST3,HLA-DPB1_KIAA0125,RPL13_RPS28,FCER2_FCRL6
HLA-A_TIGIT,CD37_TCL1A,HLA-A_RPS14,FCRLA_P2RX5
FCRL6_S100A6,SH2D1A_TYROBP,CD2_MARCH1,C12orf75_TSPAN13
FTL_TYROBP,GPX1_NCR3,AC092580.4_CCR7,PDLIM1_TSPAN13
CD72_PKIG,HLA-DQA2_S100A9,ARPC5L_RARRES3,LAG3_MATK
APOBEC3G_HOPX,RPL11_RPS12,CXCR4_EAF2,FGFBP2_TIGIT
CD79A_TSPAN13,RPS27_RPS27A,RPL31_RPS18,CD79A_FGFBP2
HLA-DRA_HLA-DRB5,CXCR4_FTL,CD79A_TCL1A,LAG3_PNOC
B2M_RPL10,RPLP0_TCL1A,CHST12_PTPRCAP,FGFBP2_KIAA0125
HLA-DPB1_HLA-DQB1,HLA-DPA1_HLA-DQA1,RPL10A_RPS18,CD79A_GZMH
C12orf75_CST7,FTH1_RPL13A,AC092580.4_CD3E,CST7_FGFBP2
GNG7_TSPAN13,CD3E_IL32,CD72_CD79A,BLK_GZMM
CD2_P2RX5,FCER2_RPS18,PDLIM1_SNX2,HLA-DRB1_HLA-DRB5
FCRL6_FGFBP2,P2RX5_RPL21,RPL10_RPS6,GZMH_HLA-DOB
PTPRCAP_TYROBP,FCRL6_OAZ1,HLA-DQA1_PTPRCAP,CD8B_KIAA0125
CD8A_GZMK,CD68_RPS15A,GZMH_PTPRCAP,CD72_GZMH
PYCARD_SH2D2A,FCRL6_S100A6,RPL10_RPS4X,FGFBP2_HLA-DOB
PKIG_TCL1A,GZMH_TYROBP,EEF1A1_RPL10,FTL_TYROBP
EEF1A1_RPS12,FCGRT_GZMA,RPL32_RPS18,HOPX_PKIG
FGFBP2_S100A6,HLA-DRA_S100A8,CD72_TCL1A,TCL1A_TIGIT
FCRL6_FTH1,BLK_GZMA,CD8B_NCR3,GZMA_TCL1A
BLVRB_SAMD3,GSTP1_GZMH,PTPRCAP_SMIM14,CD72_MATK
CST7_PNOC,RPS23_RPS27,RPL30_RPS3A,CST7_GZMA
HLA-DOB_TCL1A,CEBPD_GZMH,CHST12_TIGIT,MATK_PKIG
FGFBP2_PTPRCAP,HLA-DPB1_HLA-DQB1,RPL18A_RPL36,CD8A_MATK
HLA-DPB1_HLA-DRB1,RPL27A_RPLP2,RPL32_RPL35A,CD79A_CST7
FCRL6_OAZ1,RPS12_RPS3,CD74_HLA-DPA1,FCER2_HOPX
MALAT1_NCR3,CD74_S100A9,S100A9_TSPO,FGFBP2_PDLIM1
SPIB_VPREB3,CD37_LINC00926,AC092580.4_LYAR,CD79A_GZMA
B2M_RPL32,RPL13_VPREB3,HLA-A_HLA-C,GZMK_MATK
CXCR4_FTL,SAMD3_TYROBP,S100A8_TSPO,CD72_PDLIM1
HLA-C_PRF1,CHST12_FCRL6,RPL27A_RPS14,TIGIT_VPREB3
IL32_LYZ,RPL32_RPS15A,RPS27_RPS4X,CD8A_PNOC
