GENIE3_links,GRNBOOST2_links,PIDC_links,phase_synchrony_links
B2M_HLA-A,HLA-DOB_RPS3A,CD14_MS4A6A,MS4A6A_SERPINA1
BLVRB_GZMA,B2M_HLA-C,CCL4_CST7,CD68_LGALS3
CCL4_LAG3,CST3_LST1,CD3D_CYB561A3,CD68_CFP
RPL21_RPS3A,CD68_HLA-DRB1,AC092580.4_SPIB,AC092580.4_CD8A
AIF1_FCER1G,GZMM_HLA-DRB1,RPL11_RPS5,CTSW_GZMA
HLA-DOB_RPS3A,BRI3_CFD,RPL11_RPS29,CD8A_MATK
HLA-DMA_LYAR,FGFBP2_TCL1A,CD8B_LYAR,HLA-DRA_HLA-DRB1
CD14_LGALS2,S100A11_TIGIT,CD40_SH2D1A,AIF1_CD74
CEBPD_LGALS2,CD74_TCL1A,CD8A_IL7R,CDA_HLA-DRB1
RPL13A_TIGIT,COTL1_FGFBP2,CCL4_FCER2,GZMA_SH2D2A
CDA_FCN1,AIF1_TIGIT,B2M_RPL18A,BRI3_CD74
CTSW_GZMA,CCL4_TCL1A,AC092580.4_CYB561A3,BRI3_CEBPD
HLA-DQB1_NOSIP,CST7_TCL1A,RPLP2_RPS14,GZMK_MATK
CEBPD_CFD,RPL10A_RPL14,KLRG1_NCR3,CST3_FCER1G
RPL3_RPS10,APOBEC3G_RPL5,DUSP2_HLA-DOB,BLVRB_CFD
PPAPDC1B_RPL10A,AIF1_TYROBP,AC092580.4_CCR7,CCL5_GZMA
RPSA_SH2D2A,RPS10_RPS12,LDHB_LYAR,FGFBP2_TIGIT
RPL31_RPS4X,CST3_RPL13A,CHST12_CST3,AC092580.4_CD14
FCRL6_HLA-DRB1,CD74_RPS18,LDHB_NCR3,LGALS2_MS4A6A
RPL13_RPS3,P2RX5_RPL32,IL7R_LYAR,AIF1_LGALS2
CD247_CD3D,HOPX_RPL5,RPL13_RPS6,CST7_MATK
EEF1A1_RPS27,FCRL6_RPS3,CD247_CD40,CST7_CTSW
